Number of combinations considered: 1330
3 Descriptors | Sum of Descriptor Correlation | R2 | MAE
['q_M', 'bulk_metal_oxidation_state', 'c6', 1.3, 0.79959, 0.302]
['n_d_el_adjacent', 'adjacent_site_oxidation_state', '4th', 0.84, 0.79947, 0.32]
['Z_val_atom', 'adjacent_site_oxidation_state', '4th', 0.78, 0.79947, 0.32]
['Z_val_atom', 'n_d_el_adjacent', '4th', 2.32, 0.79947, 0.32]
['q_M', 'c6', '3rd', 1.15, 0.79938, 0.273]
['n_d_el_active', 'bulk_metal_oxidation_state', '4th', 2.29, 0.79889, 0.313]
['magmom', 'n_d_el_adjacent', 'adjacent_site_oxidation_state', 0.81, 0.79884, 0.303]
['Z_val_atom', 'magmom', 'adjacent_site_oxidation_state', 0.79, 0.79884, 0.303]
['Z_val_atom', 'magmom', 'n_d_el_adjacent', 1.02, 0.79884, 0.303]
['d_MO', '2nd', '4th', 0.71, 0.79844, 0.318]
['magmom', 'n_d_el_adjacent', 'bulk_metal_oxidation_state', 1.1, 0.79843, 0.312]
['Z_val_bulk', 'magmom', 'active_site_oxidation_state', 0.74, 0.79831, 0.311]
['Z_val_atom', 'd_MO', '4th', 0.76, 0.79827, 0.328]
['adjacent_site_oxidation_state', 'bulk_metal_oxidation_state', 'c6', 0.89, 0.79819, 0.312]
['d_MO', 'en_pauling', '4th', 0.58, 0.79805, 0.319]
['q_M', 'd_MO', 'n_d_el_adjacent', 0.85, 0.79785, 0.321]
['d_MM', 'bulk_metal_oxidation_state', 'c6', 1.34, 0.79738, 0.302]
['adjacent_site_oxidation_state', 'c6', '4th', 0.86, 0.79734, 0.308]
['Z_val_bulk', 'q_O', 'active_site_oxidation_state', 0.61, 0.79719, 0.318]
['n_d_el_active', 'bulk_metal_oxidation_state', '5th', 0.85, 0.79699, 0.322]
['n_d_el_active', 'bulk_metal_oxidation_state', 'c6', 2.44, 0.7968, 0.309]
['d_MO', 'n_d_el_adjacent', '4th', 0.79, 0.79676, 0.33]
['Z_val_bulk', 'bulk_metal_oxidation_state', 'en_pauling', 1.43, 0.79656, 0.316]
['Z_val_atom', 'bulk_metal_oxidation_state', 'en_pauling', 2.24, 0.79656, 0.316]
['Z_val_atom', 'Z_val_bulk', 'en_pauling', 1.58, 0.79656, 0.316]
['bulk_metal_oxidation_state', 'c6', '5th', 1.0, 0.79649, 0.313]
['Z_val_atom', 'd_MO', '5th', 0.12, 0.79613, 0.315]
['q_M', 'd_MO', '4th', 0.92, 0.79607, 0.323]
['q_O', 'd_MO', '4th', 0.3, 0.79604, 0.32]
['Z_val_bulk', 'd_MO', '4th', 0.45, 0.79589, 0.33]
['d_MO', 'bulk_metal_oxidation_state', '4th', 0.83, 0.79572, 0.321]
['d_MO', '1st', '4th', 0.69, 0.79569, 0.32]
['d_MM', 'd_MO', '4th', 0.94, 0.79528, 0.327]
['d_MO', 'atomic_radius', '4th', 0.76, 0.7952, 0.326]
['n_d_el_adjacent', 'active_site_oxidation_state', 'atomic_radius', 0.65, 0.79502, 0.313]
['magmom', 'd_MO', '4th', 0.85, 0.79492, 0.326]
['bulk_metal_oxidation_state', 'c6', '1st', 2.25, 0.79483, 0.308]
['d_MO', 'n_d_el_active', '4th', 0.75, 0.79472, 0.327]
['d_MO', 'adjacent_site_oxidation_state', '4th', 0.9, 0.79471, 0.327]
['n_d_el_adjacent', 'bulk_metal_oxidation_state', 'atomic_radius', 2.12, 0.79451, 0.302]
['n_d_el_adjacent', 'bulk_metal_oxidation_state', '3rd', 2.22, 0.79428, 0.308]
['Z_val_bulk', 'q_M', 'd_MO', 1.05, 0.79421, 0.334]
['Z_val_bulk', 'active_site_oxidation_state', '3rd', 0.54, 0.7941, 0.298]
['q_O', 'bulk_metal_oxidation_state', 'c6', 1.0, 0.79405, 0.311]
['q_O', 'c6', '4th', 0.97, 0.79396, 0.326]
['d_MO', 'bulk_metal_oxidation_state', 'c6', 0.92, 0.79386, 0.312]
['magmom', 'd_MO', 'n_d_el_adjacent', 0.77, 0.7938, 0.322]
['bulk_metal_oxidation_state', 'c6', '2nd', 2.6, 0.79378, 0.312]
['bulk_metal_oxidation_state', 'c6', 'en_pauling', 2.24, 0.79378, 0.313]
['Z_val_bulk', 'active_site_oxidation_state', 'atomic_radius', 0.44, 0.79378, 0.306]
